percentile,threshold,precision,recall,f1
90,12.316674,0.882981,0.908439,0.895529
90.5,12.456671,0.884604,0.907972,0.896135
91,12.607468,0.886339,0.902984,0.894584
91.5,12.733400,0.887994,0.902595,0.895235
92,12.860292,0.889162,0.902049,0.895559
92.5,12.998320,0.890899,0.901660,0.896247
93,13.126038,0.892617,0.901660,0.897116
93.5,13.291750,0.928979,0.901036,0.914794
94,13.464926,0.930982,0.900803,0.915644
94.5,13.698747,0.934925,0.900101,0.917183
95,13.959220,0.935865,0.889192,0.911932
95.5,14.268643,0.938322,0.884361,0.910542
96,14.652831,0.940218,0.872594,0.905145
96.5,15.015958,0.941674,0.868074,0.903378
97,15.557975,0.945259,0.863867,0.902732
97.5,16.075552,0.948363,0.860126,0.902092
98,16.832589,0.950352,0.851710,0.898332
98.5,18.011629,0.955785,0.830437,0.888713
99,19.522046,0.958305,0.773708,0.856170
99.5,22.455994,0.966225,0.715577,0.822223
