bond,left_feature,right_feature,bond_dim,entropy,max_entropy,saturation
0,duration,protocol_type,2,0.35146925,0.69314718,0.50706295
1,protocol_type,service,5,0.91104420,1.60943791,0.56606359
2,service,flag,62,1.65894524,4.12713439,0.40196056
3,flag,src_bytes,62,1.87260086,4.12713439,0.45372907
4,src_bytes,dst_bytes,62,2.09185981,4.12713439,0.50685527
5,dst_bytes,land,39,1.91078775,3.66356165,0.52156561
6,land,wrong_fragment,20,1.91038392,2.99573227,0.63770182
7,wrong_fragment,urgent,20,1.91038392,2.99573227,0.63770182
8,urgent,hot,40,1.91111520,3.68887945,0.51807472
9,hot,num_failed_logins,62,1.92886835,4.12713439,0.46736262
10,num_failed_logins,logged_in,62,1.93205249,4.12713439,0.46813414
11,logged_in,num_compromised,62,1.90092599,4.12713439,0.46059222
12,num_compromised,root_shell,62,1.90466141,4.12713439,0.46149731
13,root_shell,su_attempted,62,1.90597881,4.12713439,0.46181651
14,su_attempted,num_root,62,1.90625187,4.12713439,0.46188267
15,num_root,num_file_creations,62,1.90515566,4.12713439,0.46161706
16,num_file_creations,num_shells,62,1.90574906,4.12713439,0.46176085
17,num_shells,num_access_files,62,1.90610115,4.12713439,0.46184616
18,num_access_files,is_host_login,62,1.91254365,4.12713439,0.46340717
19,is_host_login,is_guest_login,62,1.91252786,4.12713439,0.46340334
20,is_guest_login,count,62,1.89827059,4.12713439,0.45994882
21,count,srv_count,62,2.65143793,4.12713439,0.64244041
22,srv_count,serror_rate,62,2.22252043,4.12713439,0.53851419
23,serror_rate,srv_serror_rate,62,2.25706517,4.12713439,0.54688434
24,srv_serror_rate,rerror_rate,62,2.20138442,4.12713439,0.53339296
25,rerror_rate,srv_rerror_rate,54,2.20073802,3.98898405,0.55170389
26,srv_rerror_rate,same_srv_rate,27,2.17671693,3.29583687,0.66044438
27,same_srv_rate,diff_srv_rate,27,2.17671693,3.29583687,0.66044438
28,diff_srv_rate,srv_diff_host_rate,54,2.14438540,3.98898405,0.53757683
29,srv_diff_host_rate,dst_host_count,62,1.97659822,4.12713439,0.47892752
30,dst_host_count,dst_host_srv_count,62,2.33946459,4.12713439,0.56684963
31,dst_host_srv_count,dst_host_same_srv_rate,62,2.29597440,4.12713439,0.55631200
32,dst_host_same_srv_rate,dst_host_diff_srv_rate,62,2.14875435,4.12713439,0.52064075
33,dst_host_diff_srv_rate,dst_host_same_src_port_rate,62,1.80679567,4.12713439,0.43778455
34,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,32,1.16901142,3.46573590,0.33730540
35,dst_host_srv_diff_host_rate,dst_host_serror_rate,16,0.74809977,2.77258872,0.26981996
36,dst_host_serror_rate,dst_host_srv_serror_rate,8,0.60819947,2.07944154,0.29248212
37,dst_host_srv_serror_rate,dst_host_rerror_rate,4,0.39523195,1.38629436,0.28509959
38,dst_host_rerror_rate,dst_host_srv_rerror_rate,2,0.28141568,0.69314718,0.40599700
