site,feature,mean_prob_normal,mean_prob_dos,gap_dos,mean_prob_probe,gap_probe,mean_prob_r2l,gap_r2l,mean_prob_u2r,gap_u2r
0,duration,0.847002,0.750716,0.096285,0.796881,0.050120,0.478548,0.368454,0.278987,0.568014
1,protocol_type,0.676310,0.720953,-0.044643,0.638608,0.037702,0.685547,-0.009237,0.795485,-0.119175
2,service,0.408437,0.101642,0.306795,0.017243,0.391194,0.022578,0.385859,0.028198,0.380239
3,flag,0.930728,0.238996,0.691732,0.288676,0.642052,0.892322,0.038406,0.940646,-0.009917
4,src_bytes,0.250024,0.251415,-0.001391,0.252677,-0.002653,0.251829,-0.001805,0.249413,0.000611
5,dst_bytes,0.249989,0.266566,-0.016577,0.267672,-0.017683,0.256055,-0.006067,0.251929,-0.001940
6,land,0.999929,0.998991,0.000938,0.999929,-0.000000,0.999929,-0.000000,0.999929,-0.000000
7,wrong_fragment,0.994645,0.993566,0.001080,1.000000,-0.005355,1.000000,-0.005355,1.000000,-0.005355
8,urgent,0.999849,0.999849,-0.000000,0.999849,-0.000000,0.999502,0.000347,0.865561,0.134288
9,hot,0.976355,0.937400,0.038956,0.983121,-0.006766,0.801595,0.174760,0.348574,0.627781
10,num_failed_logins,0.998304,0.998817,-0.000514,0.998817,-0.000514,0.836291,0.162013,0.954147,0.044157
11,logged_in,0.608544,0.353577,0.254967,0.312283,0.296261,0.477224,0.131320,0.616677,-0.008132
12,num_compromised,0.991586,0.951746,0.039840,0.993416,-0.001829,0.991705,-0.000119,0.536822,0.454764
13,root_shell,0.995798,0.997643,-0.001845,0.997643,-0.001845,0.994538,0.001260,0.581703,0.414095
14,su_attempted,0.998181,0.998489,-0.000308,0.998489,-0.000308,0.998144,0.000038,0.998489,-0.000308
15,num_root,0.990078,0.990786,-0.000708,0.990786,-0.000708,0.984661,0.005417,0.653828,0.336250
16,num_file_creations,0.995576,0.996189,-0.000613,0.996189,-0.000613,0.994125,0.001451,0.551841,0.443735
17,num_shells,0.999587,0.999587,-0.000000,0.999587,-0.000000,0.998548,0.001039,0.760978,0.238609
18,num_access_files,0.989057,0.994351,-0.005294,0.994351,-0.005294,0.990581,-0.001525,0.861540,0.127517
19,is_host_login,0.999994,0.999994,0.000000,0.999994,0.000000,0.997568,0.002426,0.940293,0.059701
20,is_guest_login,0.983973,0.988399,-0.004426,0.988399,-0.004426,0.786268,0.197705,0.988399,-0.004426
21,count,0.248455,0.237690,0.010765,0.253398,-0.004943,0.285871,-0.037417,0.309474,-0.061019
22,srv_count,0.257223,0.254181,0.003043,0.312808,-0.055584,0.351161,-0.093938,0.369314,-0.112091
23,serror_rate,0.955472,0.665025,0.290447,0.642189,0.313283,0.961341,-0.005869,0.964561,-0.009089
24,srv_serror_rate,0.951400,0.678187,0.273213,0.775486,0.175914,0.959951,-0.008551,0.962839,-0.011439
25,rerror_rate,0.945616,0.475686,0.469930,0.358212,0.587404,0.903163,0.042452,0.953460,-0.007845
26,srv_rerror_rate,0.938341,0.484408,0.453933,0.377856,0.560485,0.901160,0.037181,0.947370,-0.009029
27,same_srv_rate,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
28,diff_srv_rate,0.901720,0.393615,0.508105,0.363262,0.538458,0.900036,0.001684,0.932735,-0.031015
29,srv_diff_host_rate,0.611515,0.737399,-0.125885,0.543207,0.068308,0.746502,-0.134988,0.743362,-0.131847
30,dst_host_count,0.385299,0.497650,-0.112351,0.417956,-0.032657,0.427511,-0.042212,0.366604,0.018695
31,dst_host_srv_count,0.677027,0.407044,0.269983,0.271444,0.405583,0.477380,0.199646,0.283149,0.393878
32,dst_host_same_srv_rate,0.677991,0.390402,0.287590,0.303742,0.374249,0.542679,0.135312,0.320973,0.357018
33,dst_host_diff_srv_rate,0.710759,0.377721,0.333039,0.336741,0.374019,0.611809,0.098951,0.352834,0.357926
34,dst_host_same_src_port_rate,0.414290,0.522209,-0.107919,0.420122,-0.005832,0.471542,-0.057252,0.389729,0.024560
35,dst_host_srv_diff_host_rate,0.687085,0.792878,-0.105793,0.693804,-0.006719,0.717973,-0.030888,0.707398,-0.020313
36,dst_host_serror_rate,0.871632,0.590910,0.280723,0.570710,0.300922,0.843076,0.028556,0.726708,0.144925
37,dst_host_srv_serror_rate,0.893326,0.607667,0.285658,0.768627,0.124698,0.884222,0.009104,0.806263,0.087062
38,dst_host_rerror_rate,0.834472,0.323449,0.511023,0.329913,0.504560,0.544202,0.290270,0.635530,0.198942
39,dst_host_srv_rerror_rate,0.886100,0.380446,0.505654,0.382940,0.503161,0.751803,0.134297,0.752439,0.133661
