family,site,feature,value_index,value_label,family_freq_prob,mps_prob,disparity
dos,0,duration,0,[-inf;0),0.83016086,0.87968817,0.09905463
dos,0,duration,1,[0;+inf),0.16983914,0.12031183,0.09905463
dos,1,protocol_type,0,icmp,0.09463807,0.02006055,0.36515615
dos,1,protocol_type,1,tcp,0.90348525,0.79548469,0.36515615
dos,1,protocol_type,2,udp,0.00187668,0.18445475,0.36515615
dos,1,protocol_type,3,UNKNOWN,0.00000000,0.00000000,0.36515615
dos,2,service,0,IRC,0.00000000,0.00285048,1.47619628
dos,2,service,1,X11,0.00000000,0.00121278,1.47619628
dos,2,service,2,auth,0.00589812,0.00348522,1.47619628
dos,2,service,3,domain,0.00589812,0.00050482,1.47619628
dos,2,service,4,domain_u,0.00000000,0.13368841,1.47619628
dos,2,service,5,eco_i,0.00000000,0.00776221,1.47619628
dos,2,service,6,ecr_i,0.09396783,0.00294903,1.47619628
dos,2,service,7,finger,0.01126005,0.00886950,1.47619628
dos,2,service,8,ftp,0.00375335,0.01233381,1.47619628
dos,2,service,9,ftp_data,0.00817694,0.07481969,1.47619628
dos,2,service,10,http,0.15750670,0.56039381,1.47619628
dos,2,service,11,imap4,0.00495979,0.00005566,1.47619628
dos,2,service,12,ntp_u,0.00000000,0.00225708,1.47619628
dos,2,service,13,other,0.00107239,0.03800251,1.47619628
dos,2,service,14,pop_3,0.00120643,0.00288154,1.47619628
dos,2,service,15,private,0.38954424,0.01594998,1.47619628
dos,2,service,16,red_i,0.00000000,0.00011395,1.47619628
dos,2,service,17,shell,0.00201072,0.00005846,1.47619628
dos,2,service,18,smtp,0.04128686,0.10553244,1.47619628
dos,2,service,19,ssh,0.00348525,0.00005053,1.47619628
dos,2,service,20,telnet,0.10911528,0.01555518,1.47619628
dos,2,service,21,tftp_u,0.00000000,0.00006926,1.47619628
dos,2,service,22,tim_i,0.00067024,0.00005252,1.47619628
dos,2,service,23,time,0.00402145,0.00136827,1.47619628
dos,2,service,24,urh_i,0.00000000,0.00009176,1.47619628
dos,2,service,25,urp_i,0.00000000,0.00909109,1.47619628
dos,2,service,26,UNKNOWN,0.15616622,0.00000000,1.47619628
dos,3,flag,0,OTH,0.00000000,0.00011370,1.42287975
dos,3,flag,1,REJ,0.37010724,0.03901132,1.42287975
dos,3,flag,2,RSTO,0.05013405,0.00326960,1.42287975
dos,3,flag,3,RSTR,0.07158177,0.00214389,1.42287975
dos,3,flag,4,S0,0.23793566,0.00538261,1.42287975
dos,3,flag,5,S1,0.00013405,0.00650897,1.42287975
dos,3,flag,6,S2,0.00080429,0.00207469,1.42287975
dos,3,flag,7,S3,0.03230563,0.00081705,1.42287975
dos,3,flag,8,SF,0.23699732,0.94064572,1.42287975
dos,3,flag,9,SH,0.00000000,0.00003246,1.42287975
dos,3,flag,10,UNKNOWN,0.00000000,0.00000000,1.42287975
dos,4,src_bytes,0,[-inf;129),0.75241287,0.25267733,0.99948590
dos,4,src_bytes,1,[129;233),0.00000000,0.25069135,0.99948590
dos,4,src_bytes,2,[233;324),0.00000000,0.24905160,0.99948590
dos,4,src_bytes,3,[324;+inf),0.24758713,0.24757972,0.99948590
