site,feature,entropy
0,duration,0.35146925
1,protocol_type,0.57221976
2,service,1.55854950
3,flag,0.29538850
4,src_bytes,1.15743304
5,dst_bytes,1.20260912
6,land,0.00075144
7,wrong_fragment,0.00000000
8,urgent,0.00148190
9,hot,0.08446080
10,num_failed_logins,0.00915243
11,logged_in,0.59888096
12,num_compromised,0.03958166
13,root_shell,0.01661485
14,su_attempted,0.01132239
15,num_root,0.05102710
16,num_file_creations,0.02373323
17,num_shells,0.00356466
18,num_access_files,0.03260851
19,is_host_login,0.00007554
20,is_guest_login,0.06323407
21,count,1.33212414
22,srv_count,1.28142477
23,serror_rate,0.15313299
24,srv_serror_rate,0.15822854
25,rerror_rate,0.18819723
26,srv_rerror_rate,0.20385407
27,same_srv_rate,0.00000000
28,diff_srv_rate,0.23936176
29,srv_diff_host_rate,0.44994542
30,dst_host_count,0.93572135
31,dst_host_srv_count,0.56619488
32,dst_host_same_srv_rate,0.55889748
33,dst_host_diff_srv_rate,0.52415281
34,dst_host_same_src_port_rate,0.94561683
35,dst_host_srv_diff_host_rate,0.49446928
36,dst_host_serror_rate,0.27050964
37,dst_host_srv_serror_rate,0.22547948
38,dst_host_rerror_rate,0.32085509
39,dst_host_srv_rerror_rate,0.28141568
