rank,row,is_attack,true_nll,attribution_sum,correlation_residual,nll[duration],nll[protocol_type],nll[service],nll[flag],nll[src_bytes],nll[dst_bytes],nll[land],nll[wrong_fragment],nll[urgent],nll[hot],nll[num_failed_logins],nll[logged_in],nll[num_compromised],nll[root_shell],nll[su_attempted],nll[num_root],nll[num_file_creations],nll[num_shells],nll[num_access_files],nll[is_host_login],nll[is_guest_login],nll[count],nll[srv_count],nll[serror_rate],nll[srv_serror_rate],nll[rerror_rate],nll[srv_rerror_rate],nll[same_srv_rate],nll[diff_srv_rate],nll[srv_diff_host_rate],nll[dst_host_count],nll[dst_host_srv_count],nll[dst_host_same_srv_rate],nll[dst_host_diff_srv_rate],nll[dst_host_same_src_port_rate],nll[dst_host_srv_diff_host_rate],nll[dst_host_serror_rate],nll[dst_host_srv_serror_rate],nll[dst_host_rerror_rate],nll[dst_host_srv_rerror_rate]
0,152,1,83.2288,74.9298,8.2990,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.1630,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3977,1.3714,1.3657,1.5220,0.5887,1.5879,2.4138,0.0847,0.1111,0.0915
1,10380,1,81.1544,75.5901,5.5643,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.1630,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3861,1.3714,1.3657,1.5220,1.4400,1.5879,0.0937,0.0847,2.2519,0.0915
2,5915,1,79.1105,75.7694,3.3412,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.1630,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3861,1.3714,1.3657,1.5220,1.4400,1.5879,2.4138,0.0847,0.1111,0.0915
3,21942,1,79.1105,75.7694,3.3412,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.1630,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3861,1.3714,1.3657,1.5220,1.4400,1.5879,2.4138,0.0847,0.1111,0.0915
4,8743,1,79.1105,75.7694,3.3412,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.1630,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3861,1.3714,1.3657,1.5220,1.4400,1.5879,2.4138,0.0847,0.1111,0.0915
5,9658,0,78.9499,76.1682,2.7817,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.5619,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,1.3897,1.3861,1.3714,1.3657,1.5220,1.4400,1.5879,2.4138,0.0847,0.1111,0.0915
6,4869,0,77.0643,71.9767,5.0876,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.5619,1.9900,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,0.2865,0.6876,1.3714,1.3657,1.5220,0.5887,0.2286,0.0937,0.0847,2.2519,0.0915
7,18827,0,76.6873,72.3564,4.3309,2.1177,0.2288,36.1548,6.1451,1.3756,1.3141,0.0001,-0.0000,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.4679,0.9866,0.0361,0.0379,3.0675,2.9445,-0.0000,2.6991,0.2865,1.3977,1.3714,1.3657,1.5220,1.4400,0.2286,0.0937,0.0847,2.2519,2.4364
8,15440,0,75.8663,72.1739,3.6923,0.1282,3.9090,5.8263,0.0612,1.3960,1.3141,0.0001,45.6703,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.3972,1.3706,0.0361,0.0379,0.0477,0.0541,-0.0000,0.0696,0.2865,0.6876,1.3714,1.3657,1.5220,1.5701,0.2286,0.0937,0.0847,2.2519,0.0915
9,5848,1,75.1751,68.9844,6.1907,0.1282,0.2288,36.1548,3.2439,1.3756,1.3141,0.0001,-0.0000,0.0002,0.0170,0.0012,1.2423,0.0066,0.0024,0.0015,0.0093,0.0038,0.0004,0.0057,0.0000,0.0117,1.3972,1.9900,0.0361,0.0379,3.0675,2.9445,-0.0000,2.6991,1.3897,0.6876,1.3714,1.3657,0.2463,0.5887,0.2286,2.4138,0.0847,2.2519,2.4364
