site,feature,mean_prob_normal,mean_prob_dos,gap_dos,mean_prob_probe,gap_probe,mean_prob_r2l,gap_r2l,mean_prob_u2r,gap_u2r
0,duration,0.847002,0.750885,0.096116,0.796881,0.050120,0.460846,0.386156,0.651875,0.195126
1,protocol_type,0.676310,0.720933,-0.044623,0.638608,0.037702,0.680317,-0.004007,0.795485,-0.119175
2,service,0.408437,0.101665,0.306772,0.017243,0.391194,0.021832,0.386605,0.034662,0.373775
3,flag,0.930728,0.238808,0.691921,0.288676,0.642052,0.926391,0.004338,0.439870,0.490858
4,src_bytes,0.250024,0.251416,-0.001392,0.252677,-0.002653,0.251817,-0.001793,0.251145,-0.001121
5,dst_bytes,0.249989,0.266570,-0.016581,0.267672,-0.017683,0.255548,-0.005559,0.261633,-0.011644
6,land,0.999929,0.998990,0.000938,0.999929,-0.000000,0.999929,-0.000000,0.999929,-0.000000
7,wrong_fragment,0.994645,0.993564,0.001081,1.000000,-0.005355,1.000000,-0.005355,1.000000,-0.005355
8,urgent,0.999849,0.999849,-0.000000,0.999849,-0.000000,0.999486,0.000363,0.954862,0.044986
9,hot,0.976355,0.937387,0.038968,0.983121,-0.006766,0.793662,0.182693,0.760886,0.215470
10,num_failed_logins,0.998304,0.998817,-0.000514,0.998817,-0.000514,0.828560,0.169743,0.983853,0.014451
11,logged_in,0.608544,0.353481,0.255063,0.312283,0.296261,0.486191,0.122353,0.402811,0.205733
12,num_compromised,0.991586,0.951735,0.039851,0.993416,-0.001829,0.991982,-0.000396,0.835523,0.156064
13,root_shell,0.995798,0.997643,-0.001845,0.997643,-0.001845,0.994752,0.001046,0.853326,0.142472
14,su_attempted,0.998181,0.998489,-0.000308,0.998489,-0.000308,0.998489,-0.000308,0.993504,0.004677
15,num_root,0.990078,0.990786,-0.000708,0.990786,-0.000708,0.984727,0.005352,0.872997,0.117081
16,num_file_creations,0.995576,0.996189,-0.000613,0.996189,-0.000613,0.994027,0.001549,0.847332,0.148243
17,num_shells,0.999587,0.999587,-0.000000,0.999587,-0.000000,0.998861,0.000726,0.914657,0.084930
18,num_access_files,0.989057,0.994351,-0.005294,0.994351,-0.005294,0.990402,-0.001345,0.949860,0.039197
19,is_host_login,0.999994,0.999994,0.000000,0.999994,0.000000,0.997452,0.002542,0.979994,0.020000
20,is_guest_login,0.983973,0.988399,-0.004426,0.988399,-0.004426,0.776653,0.207320,0.988399,-0.004426
21,count,0.248455,0.237670,0.010785,0.253398,-0.004943,0.285648,-0.037193,0.297123,-0.048668
22,srv_count,0.257223,0.254149,0.003074,0.312808,-0.055584,0.350129,-0.092906,0.371658,-0.114435
23,serror_rate,0.955472,0.664945,0.290527,0.642189,0.313283,0.961188,-0.005716,0.964561,-0.009089
24,srv_serror_rate,0.951400,0.678110,0.273290,0.775486,0.175914,0.959814,-0.008414,0.962839,-0.011439
25,rerror_rate,0.945616,0.475558,0.470058,0.358212,0.587404,0.937983,0.007633,0.441050,0.504565
26,srv_rerror_rate,0.938341,0.484284,0.454057,0.377856,0.560485,0.935674,0.002667,0.441842,0.496499
27,same_srv_rate,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
28,diff_srv_rate,0.901720,0.393470,0.508250,0.363262,0.538458,0.904137,-0.002417,0.854842,0.046878
29,srv_diff_host_rate,0.611515,0.737396,-0.125881,0.543207,0.068308,0.746296,-0.134781,0.748341,-0.136827
30,dst_host_count,0.385299,0.497717,-0.112419,0.417956,-0.032657,0.426900,-0.041601,0.413713,-0.028415
31,dst_host_srv_count,0.677027,0.407085,0.269942,0.271444,0.405583,0.488018,0.189008,0.263595,0.413431
32,dst_host_same_srv_rate,0.677991,0.390438,0.287553,0.303742,0.374249,0.556354,0.121638,0.277240,0.400752
33,dst_host_diff_srv_rate,0.710759,0.377763,0.332996,0.336741,0.374019,0.610273,0.100486,0.542258,0.168502
34,dst_host_same_src_port_rate,0.414290,0.522200,-0.107910,0.420122,-0.005832,0.468946,-0.054656,0.480719,-0.066429
35,dst_host_srv_diff_host_rate,0.687085,0.792877,-0.105792,0.693804,-0.006719,0.714278,-0.027193,0.766087,-0.079002
36,dst_host_serror_rate,0.871632,0.590824,0.280808,0.570710,0.300922,0.840166,0.031466,0.844841,0.026792
37,dst_host_srv_serror_rate,0.893326,0.607584,0.285742,0.768627,0.124698,0.882578,0.010747,0.881079,0.012247
38,dst_host_rerror_rate,0.834472,0.323296,0.511176,0.329913,0.504560,0.563650,0.270822,0.310494,0.523979
39,dst_host_srv_rerror_rate,0.886100,0.380303,0.505797,0.382940,0.503161,0.782505,0.103596,0.330866,0.555235
