family,site,feature,value_index,value_label,family_freq_prob,mps_prob,disparity
dos,0,duration,0,[-inf;0),0.83038348,0.87968817,0.09860939
dos,0,duration,1,[0;+inf),0.16961652,0.12031183,0.09860939
dos,1,protocol_type,0,icmp,0.09466345,0.02006055,0.36515515
dos,1,protocol_type,1,tcp,0.90345937,0.79548469,0.36515515
dos,1,protocol_type,2,udp,0.00187718,0.18445475,0.36515515
dos,1,protocol_type,3,UNKNOWN,0.00000000,0.00000000,0.36515515
dos,2,service,0,IRC,0.00000000,0.00285048,1.47608204
dos,2,service,1,X11,0.00000000,0.00121278,1.47608204
dos,2,service,2,auth,0.00589971,0.00348522,1.47608204
dos,2,service,3,domain,0.00589971,0.00050482,1.47608204
dos,2,service,4,domain_u,0.00000000,0.13368841,1.47608204
dos,2,service,5,eco_i,0.00000000,0.00776221,1.47608204
dos,2,service,6,ecr_i,0.09399303,0.00294903,1.47608204
dos,2,service,7,finger,0.01126307,0.00886950,1.47608204
dos,2,service,8,ftp,0.00375436,0.01233381,1.47608204
dos,2,service,9,ftp_data,0.00817914,0.07481969,1.47608204
dos,2,service,10,http,0.15754894,0.56039381,1.47608204
dos,2,service,11,imap4,0.00496112,0.00005566,1.47608204
dos,2,service,12,ntp_u,0.00000000,0.00225708,1.47608204
dos,2,service,13,other,0.00107267,0.03800251,1.47608204
dos,2,service,14,pop_3,0.00120676,0.00288154,1.47608204
dos,2,service,15,private,0.38964870,0.01594998,1.47608204
dos,2,service,16,red_i,0.00000000,0.00011395,1.47608204
dos,2,service,17,shell,0.00201126,0.00005846,1.47608204
dos,2,service,18,smtp,0.04129794,0.10553244,1.47608204
dos,2,service,19,ssh,0.00348619,0.00005053,1.47608204
dos,2,service,20,telnet,0.10887637,0.01555518,1.47608204
dos,2,service,21,tftp_u,0.00000000,0.00006926,1.47608204
dos,2,service,22,tim_i,0.00067042,0.00005252,1.47608204
dos,2,service,23,time,0.00402253,0.00136827,1.47608204
dos,2,service,24,urh_i,0.00000000,0.00009176,1.47608204
dos,2,service,25,urp_i,0.00000000,0.00909109,1.47608204
dos,2,service,26,UNKNOWN,0.15620810,0.00000000,1.47608204
dos,3,flag,0,OTH,0.00000000,0.00011370,1.42328847
dos,3,flag,1,REJ,0.37020649,0.03901132,1.42328847
dos,3,flag,2,RSTO,0.05014749,0.00326960,1.42328847
