site,feature,mean_prob_benign,mean_prob_attack,discriminative_gap
0,duration,0.847002,0.695776,0.151225
1,protocol_type,0.676310,0.697848,-0.021538
2,service,0.408437,0.067562,0.340875
3,flag,0.930728,0.398907,0.531822
4,src_bytes,0.250024,0.251736,-0.001712
5,dst_bytes,0.249989,0.264335,-0.014346
6,land,0.999929,0.999383,0.000545
7,wrong_fragment,0.994645,0.996260,-0.001614
8,urgent,0.999849,0.999070,0.000779
9,hot,0.976355,0.912421,0.063935
10,num_failed_logins,0.998304,0.962046,0.036257
11,logged_in,0.608544,0.374958,0.233587
12,num_compromised,0.991586,0.966424,0.025162
13,root_shell,0.995798,0.994773,0.001025
14,su_attempted,0.998181,0.998412,-0.000230
15,num_root,0.990078,0.987650,0.002428
16,num_file_creations,0.995576,0.993405,0.002171
17,num_shells,0.999587,0.998107,0.001479
18,num_access_files,0.989057,0.992810,-0.003753
19,is_host_login,0.999994,0.999137,0.000857
20,is_guest_login,0.983973,0.942958,0.041016
21,count,0.248455,0.251860,-0.003405
22,srv_count,0.257223,0.287644,-0.030421
23,serror_rate,0.955472,0.728896,0.226576
24,srv_serror_rate,0.951400,0.761372,0.190028
25,rerror_rate,0.945616,0.552120,0.393496
26,srv_rerror_rate,0.938341,0.560414,0.377927
27,same_srv_rate,1.000000,1.000000,0.000000
28,diff_srv_rate,0.901720,0.504552,0.397168
29,srv_diff_host_rate,0.611515,0.702842,-0.091327
30,dst_host_count,0.385299,0.466163,-0.080865
31,dst_host_srv_count,0.677027,0.396628,0.280399
32,dst_host_same_srv_rate,0.677991,0.407924,0.270067
33,dst_host_diff_srv_rate,0.710759,0.422485,0.288274
34,dst_host_same_src_port_rate,0.414290,0.490868,-0.076578
35,dst_host_srv_diff_host_rate,0.687085,0.756902,-0.069817
36,dst_host_serror_rate,0.871632,0.644498,0.227135
37,dst_host_srv_serror_rate,0.893326,0.701242,0.192083
38,dst_host_rerror_rate,0.834472,0.375926,0.458547
39,dst_host_srv_rerror_rate,0.886100,0.466344,0.419757
