feature_i,value_i_index,value_i_label,feature_j,value_j_index,value_j_label,joint,independent,lift
count,0,[-inf;1),srv_count,0,[-inf;2),0.26583124,0.11652815,2.281262
count,0,[-inf;1),srv_count,1,[2;5),0.02945231,0.04272531,0.689341
count,0,[-inf;1),srv_count,2,[5;18),0.01184521,0.07937397,0.149233
count,0,[-inf;1),srv_count,3,[18;+inf),0.00541411,0.07391544,0.073247
count,1,[1;4),srv_count,0,[-inf;2),0.09019220,0.07820033,1.153348
count,1,[1;4),srv_count,1,[2;5),0.08175540,0.02867233,2.851370
count,1,[1;4),srv_count,2,[5;18),0.02713848,0.05326670,0.509483
count,1,[1;4),srv_count,3,[18;+inf),0.01065683,0.04960357,0.214840
count,2,[4;14),srv_count,0,[-inf;2),0.01328688,0.09220325,0.144104
count,2,[4;14),srv_count,1,[2;5),0.02449470,0.03380653,0.724555
count,2,[4;14),srv_count,2,[5;18),0.18343860,0.06280489,2.920769
count,2,[4;14),srv_count,3,[18;+inf),0.02608032,0.05848582,0.445925
count,3,[14;+inf),srv_count,0,[-inf;2),0.00352860,0.08590720,0.041075
count,3,[14;+inf),srv_count,1,[2;5),0.00099982,0.03149807,0.031742
count,3,[14;+inf),srv_count,2,[5;18),0.03153956,0.05851629,0.538988
count,3,[14;+inf),srv_count,3,[18;+inf),0.19434572,0.05449215,3.566490
