feature,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
duration,0.35146925,0.01264482,0.25234404,0.01206558,0.09145370,0.08175298,0.00000880,0.00000000,0.00023238,0.01842810,0.00105750,0.00638776,0.00880736,0.00165881,0.00225248,0.00141802,0.00190571,0.00002081,0.00195291,0.00000120,0.02412357,0.08972269,0.08697752,0.00114587,0.00118196,0.00119062,0.00173515,-0.00000000,0.00508362,0.00710316,0.00974250,0.04467009,0.07908198,0.08001043,0.00547065,0.00952140,0.00313527,0.00248105,0.00020012,0.00024565
protocol_type,0.01264482,0.57221976,0.56101140,0.01406178,0.25339030,0.22958949,0.00001610,-0.00000000,0.00003101,0.00358459,0.00009340,0.32339895,0.00132255,0.00050504,0.00032509,0.00174412,0.00096250,0.00007834,0.00167525,0.00000014,0.00259747,0.08861583,0.09564287,0.00483880,0.00631851,0.00926102,0.01111098,-0.00000000,0.07077760,0.03544367,0.08074116,0.01454545,0.01265071,0.00036600,0.04225006,0.03345608,0.01391156,0.02017490,0.01012963,0.01675990
service,0.25234404,0.56101140,1.55854950,0.06028072,0.69076049,0.71269860,0.00037712,-0.00000000,0.00051468,0.05167834,0.00273563,0.38551341,0.02172533,0.00445127,0.00493204,0.02079340,0.00945544,0.00109880,0.00677094,0.00000468,0.05773278,0.31759503,0.32050328,0.01006715,0.01021272,0.01924177,0.02332058,-0.00000000,0.09836177,0.08399064,0.12331184,0.26364903,0.33084202,0.27362774,0.18779863,0.06225741,0.03102406,0.02838162,0.01510032,0.02594756
flag,0.01206558,0.01406178,0.06028072,0.29538850,0.08387882,0.07828736,0.00037698,-0.00000000,0.00004420,0.00189395,0.00019461,0.05530346,0.00145341,0.00052323,0.00050759,0.00099163,0.00056461,0.00002985,0.00056051,0.00000062,0.00060935,0.04809075,0.03766070,0.03653995,0.03420377,0.15102662,0.14190446,-0.00000000,0.00236836,0.00254289,0.02882444,0.00306496,0.00816049,0.00596422,0.01740494,0.03752663,0.01983734,0.01017795,0.09432390,0.10243464
src_bytes,0.09145370,0.25339030,0.69076049,0.08387882,1.15743304,0.79500732,0.00009821,-0.00000000,0.00014678,0.00803052,0.00059984,0.37766278,0.00539357,0.00106712,0.00143730,0.01084103,0.00563985,0.00051885,0.00227926,0.00000129,0.00896046,0.14553340,0.16423129,0.00282906,0.00236782,0.04443001,0.03773436,-0.00000000,0.04891390,0.04968138,0.05269982,0.11719945,0.16297922,0.13679006,0.05187200,0.01112564,0.01478343,0.00947112,0.02307479,0.02044645
dst_bytes,0.08175298,0.22958949,0.71269860,0.07828736,0.79500732,1.20260912,0.00009654,-0.00000000,0.00014436,0.01813588,0.00056456,0.32396967,0.00604901,0.00155803,0.00137423,0.00634042,0.00276508,0.00050912,0.00587110,0.00000125,0.01785541,0.15416999,0.17176488,0.00473635,0.00439031,0.04711315,0.04146138,-0.00000000,0.05059183,0.04895657,0.05221793,0.13170179,0.15576174,0.12618912,0.12331549,0.02616267,0.00911026,0.00672649,0.02379438,0.02439004
land,0.00000880,0.00001610,0.00037712,0.00037698,0.00009821,0.00009654,0.00075144,0.00000000,0.00000000,0.00000066,0.00000023,0.00006453,0.00000003,0.00000001,0.00000000,0.00000027,0.00000013,0.00000001,0.00000014,0.00000000,0.00000061,0.00003840,0.00002033,0.00018360,0.00018078,0.00000035,0.00000035,-0.00000000,0.00000110,0.00000521,0.00001083,0.00000084,0.00000018,0.00000015,0.00000466,0.00000344,0.00009546,0.00004694,0.00000109,0.00000250
wrong_fragment,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000
urgent,0.00023238,0.00003101,0.00051468,0.00004420,0.00014678,0.00014436,0.00000000,0.00000000,0.00148190,0.00039897,0.00005416,0.00003077,0.00048064,0.00046014,0.00047126,0.00038510,0.00039034,0.00000207,0.00000655,0.00000039,0.00000009,0.00011872,0.00011102,0.00000489,0.00000446,0.00000021,0.00000098,-0.00000000,0.00000098,0.00002703,0.00000850,0.00011612,0.00008912,0.00005184,0.00000030,0.00000173,0.00002211,0.00000996,0.00001013,0.00000700
hot,0.01842810,0.00358459,0.05167834,0.00189395,0.00803052,0.01813588,0.00000066,0.00000000,0.00039897,0.08446080,0.00015905,0.00570390,0.00080716,0.00325940,0.00007294,0.00002726,0.00017462,0.00001253,0.00009544,0.00000279,0.05173863,0.01356698,0.01075033,0.00075129,0.00094468,0.00013033,0.00009596,-0.00000000,0.00034972,0.00223159,0.00106908,0.00958248,0.00796586,0.00491367,0.00070255,0.00069236,0.00075670,0.00041384,0.00038325,0.00040380
num_failed_logins,0.00105750,0.00009340,0.00273563,0.00019461,0.00059984,0.00056456,0.00000023,0.00000000,0.00005416,0.00015905,0.00915243,0.00013128,0.00106446,0.00050348,0.00076220,0.00054187,0.00051712,0.00000070,0.00000820,0.00000072,0.00013193,0.00127521,0.00107827,0.00000013,0.00000152,0.00000274,0.00000354,0.00000000,0.00002349,0.00025634,0.00007455,0.00120324,0.00101181,0.00061815,0.00002406,0.00006053,0.00027129,0.00013564,0.00016199,0.00013006
logged_in,0.00638776,0.32339895,0.38551341,0.05530346,0.37766278,0.32396967,0.00006453,0.00000000,0.00003077,0.00570390,0.00013128,0.59888096,0.00227362,0.00079797,0.00051159,0.00423114,0.00176775,0.00020645,0.00263292,0.00000020,0.00379736,0.06412744,0.08687465,0.00030281,0.00076610,0.03791263,0.03154048,-0.00000000,0.05185868,0.04444346,0.04156526,0.02679628,0.01451329,0.00658356,0.03129337,0.00189184,0.00677287,0.00887740,0.01367297,0.01487843
num_compromised,0.00880736,0.00132255,0.02172533,0.00145341,0.00539357,0.00604901,0.00000003,-0.00000000,0.00048064,0.00080716,0.00106446,0.00227362,0.03958166,0.00719243,0.00761992,0.00702410,0.00171890,0.00003038,0.00357550,0.00000659,0.00006758,0.00653048,0.00594552,0.00004956,0.00004569,0.00000869,0.00002179,-0.00000000,0.00011486,0.00156227,0.00026426,0.00640441,0.00558188,0.00355942,0.00011742,0.00023113,0.00439239,0.00319443,0.00194062,0.00197148
root_shell,0.00165881,0.00050504,0.00445127,0.00052323,0.00106712,0.00155803,0.00000001,-0.00000000,0.00046014,0.00325940,0.00050348,0.00079797,0.00719243,0.01661485,0.00869435,0.00562931,0.00043498,0.00001594,0.00358932,0.00000065,0.00002133,0.00094636,0.00095211,0.00021922,0.00022314,0.00004741,0.00004399,-0.00000000,0.00004888,0.00034955,0.00008468,0.00097933,0.00075540,0.00050881,0.00002413,0.00000838,0.00065073,0.00047975,0.00023854,0.00023212
su_attempted,0.00225248,0.00032509,0.00493204,0.00050759,0.00143730,0.00137423,0.00000000,-0.00000000,0.00047126,0.00007294,0.00076220,0.00051159,0.00761992,0.00869435,0.01132239,0.00709306,0.00060938,0.00000034,0.00427289,0.00000039,0.00001640,0.00172052,0.00143297,0.00028640,0.00027874,0.00000000,0.00000272,-0.00000000,0.00005046,0.00038347,0.00010311,0.00155591,0.00124367,0.00080847,0.00001953,0.00002667,0.00076617,0.00060445,0.00025630,0.00024808
num_root,0.00141802,0.00174412,0.02079340,0.00099163,0.01084103,0.00634042,0.00000027,0.00000000,0.00038510,0.00002726,0.00054187,0.00423114,0.00702410,0.00562931,0.00709306,0.05102710,0.00097025,0.00005317,0.00221047,0.00000448,0.00011408,0.00561684,0.00729177,0.00002821,0.00003164,0.00017418,0.00027343,0.00000000,0.00007233,0.00148749,0.00203724,0.00960253,0.00842549,0.00670162,0.00323450,0.00026167,0.00087175,0.00081416,0.00029766,0.00006632
num_file_creations,0.00190571,0.00096250,0.00945544,0.00056461,0.00563985,0.00276508,0.00000013,-0.00000000,0.00039034,0.00017462,0.00051712,0.00176775,0.00171890,0.00043498,0.00060938,0.00097025,0.02373323,0.00021040,0.00047526,0.00000045,0.00005546,0.00199158,0.00180497,0.00026686,0.00012275,0.00006562,0.00009081,0.00000000,0.00002287,0.00017493,0.00053907,0.00292283,0.00411880,0.00328369,0.00052986,0.00019759,0.00104698,0.00071219,0.00024434,0.00011034
num_shells,0.00002081,0.00007834,0.00109880,0.00002985,0.00051885,0.00050912,0.00000001,-0.00000000,0.00000207,0.00001253,0.00000070,0.00020645,0.00003038,0.00001594,0.00000034,0.00005317,0.00021040,0.00356466,0.00000357,0.00000029,0.00000498,0.00026948,0.00016127,0.00003227,0.00000169,0.00001428,0.00001794,-0.00000000,0.00002776,0.00004228,0.00006148,0.00048895,0.00040546,0.00029120,0.00042213,0.00001533,0.00007806,0.00004039,0.00001347,0.00001105
num_access_files,0.00195291,0.00167525,0.00677094,0.00056051,0.00227926,0.00587110,0.00000014,0.00000000,0.00000655,0.00009544,0.00000820,0.00263292,0.00357550,0.00358932,0.00427289,0.00221047,0.00047526,0.00000357,0.03260851,0.00000006,0.00008657,0.00376916,0.00264292,0.00011180,0.00014417,0.00017213,0.00005639,-0.00000000,0.00030893,0.00051161,0.00051337,0.00035024,0.00050329,0.00072213,0.00084212,0.00054768,0.00041828,0.00036262,0.00004732,0.00002636
is_host_login,0.00000120,0.00000014,0.00000468,0.00000062,0.00000129,0.00000125,0.00000000,-0.00000000,0.00000039,0.00000279,0.00000072,0.00000020,0.00000659,0.00000065,0.00000039,0.00000448,0.00000045,0.00000029,0.00000006,0.00007554,0.00000007,0.00000681,0.00000571,0.00000016,0.00000017,0.00000023,0.00000027,-0.00000000,0.00000010,0.00000125,0.00000024,0.00000590,0.00000561,0.00000323,0.00000009,0.00000029,0.00000573,0.00000470,0.00000258,0.00000281
is_guest_login,0.02412357,0.00259747,0.05773278,0.00060935,0.00896046,0.01785541,0.00000061,0.00000000,0.00000009,0.05173863,0.00013193,0.00379736,0.00006758,0.00002133,0.00001640,0.00011408,0.00005546,0.00000498,0.00008657,0.00000007,0.06323407,0.01305184,0.01183324,0.00007143,0.00008573,0.00036163,0.00044405,-0.00000000,0.00018248,0.00323108,0.00132972,0.01365179,0.01147111,0.00661777,0.00076129,0.00115314,0.00008493,0.00023417,0.00020746,0.00022927
count,0.08972269,0.08861583,0.31759503,0.04809075,0.14553340,0.15416999,0.00003840,0.00000000,0.00011872,0.01356698,0.00127521,0.06412744,0.00653048,0.00094636,0.00172052,0.00561684,0.00199158,0.00026948,0.00376916,0.00000681,0.01305184,1.33212414,1.15628246,0.00618105,0.01015309,0.03814401,0.03423260,-0.00000000,0.05905498,0.11099498,0.07033372,0.08002625,0.09919533,0.10059310,0.06850330,0.02027516,0.01556077,0.01325132,0.03145193,0.02683682
srv_count,0.08697752,0.09564287,0.32050328,0.03766070,0.16423129,0.17176488,0.00002033,0.00000000,0.00011102,0.01075033,0.00107827,0.08687465,0.00594552,0.00095211,0.00143297,0.00729177,0.00180497,0.00016127,0.00264292,0.00000571,0.01183324,1.15628246,1.28142477,0.00412474,0.00858241,0.03085721,0.02608074,-0.00000000,0.03404896,0.14567974,0.05805122,0.12126537,0.13646153,0.12307250,0.06724505,0.01491975,0.01624722,0.01079411,0.02550611,0.02075819
serror_rate,0.00114587,0.00483880,0.01006715,0.03653995,0.00282906,0.00473635,0.00018360,0.00000000,0.00000489,0.00075129,0.00000013,0.00030281,0.00004956,0.00021922,0.00028640,0.00002821,0.00026686,0.00003227,0.00011180,0.00000016,0.00007143,0.00618105,0.00412474,0.15313299,0.11838105,0.00131301,0.00050793,-0.00000000,0.00158874,0.00097374,0.00092592,0.00029675,0.00024495,0.00023736,0.00104828,0.00022950,0.03907499,0.01478939,0.00017206,0.00029575
srv_serror_rate,0.00118196,0.00631851,0.01021272,0.03420377,0.00236782,0.00439031,0.00018078,-0.00000000,0.00000446,0.00094468,0.00000152,0.00076610,0.00004569,0.00022314,0.00027874,0.00003164,0.00012275,0.00000169,0.00014417,0.00000017,0.00008573,0.01015309,0.00858241,0.11838105,0.15822854,0.00062488,0.00036352,0.00000000,0.00139940,0.00578126,0.00194533,0.00058259,0.00096603,0.00043360,0.00054305,0.00060819,0.02979749,0.01496544,0.00022972,0.00059269
rerror_rate,0.00119062,0.00926102,0.01924177,0.15102662,0.04443001,0.04711315,0.00000035,0.00000000,0.00000021,0.00013033,0.00000274,0.03791263,0.00000869,0.00004741,0.00000000,0.00017418,0.00006562,0.00001428,0.00017213,0.00000023,0.00036163,0.03814401,0.03085721,0.00131301,0.00062488,0.18819723,0.16598931,-0.00000000,0.00132639,0.00082522,0.02365303,0.00005859,0.00285460,0.00201822,0.01348722,0.03135998,0.00067541,0.00052689,0.09707970,0.10439287
srv_rerror_rate,0.00173515,0.01111098,0.02332058,0.14190446,0.03773436,0.04146138,0.00000035,0.00000000,0.00000098,0.00009596,0.00000354,0.03154048,0.00002179,0.00004399,0.00000272,0.00027343,0.00009081,0.00001794,0.00005639,0.00000027,0.00044405,0.03423260,0.02608074,0.00050793,0.00036352,0.16598931,0.20385407,-0.00000000,0.00227083,0.00570320,0.02070388,0.00058248,0.00434785,0.00305106,0.01116500,0.02800004,0.00067931,0.00053266,0.08890947,0.09617721
same_srv_rate,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.00000000
diff_srv_rate,0.00508362,0.07077760,0.09836177,0.00236836,0.04891390,0.05059183,0.00000110,-0.00000000,0.00000098,0.00034972,0.00002349,0.05185868,0.00011486,0.00004888,0.00005046,0.00007233,0.00002287,0.00002776,0.00030893,0.00000010,0.00018248,0.05905498,0.03404896,0.00158874,0.00139940,0.00132639,0.00227083,-0.00000000,0.23936176,0.02435006,0.02587844,0.01887942,0.01908014,0.00531777,0.01473425,0.01184809,0.00146011,0.00518048,0.00327212,0.00443077
srv_diff_host_rate,0.00710316,0.03544367,0.08399064,0.00254289,0.04968138,0.04895657,0.00000521,0.00000000,0.00002703,0.00223159,0.00025634,0.04444346,0.00156227,0.00034955,0.00038347,0.00148749,0.00017493,0.00004228,0.00051161,0.00000125,0.00323108,0.11099498,0.14567974,0.00097374,0.00578126,0.00082522,0.00570320,-0.00000000,0.02435006,0.44994542,0.01494213,0.03642451,0.01862725,0.01416953,0.01484256,0.00204477,0.00182278,0.00254596,0.00097636,0.00141906
