site,feature,value_index,value_label,freq_prob,mps_prob,disparity
0,duration,0,[-inf;0),0.92047502,0.87968817,0.08157370
0,duration,1,[0;+inf),0.07952498,0.12031183,0.08157370
1,protocol_type,0,icmp,0.06581569,0.02006055,0.13087437
1,protocol_type,1,tcp,0.81516674,0.79548469,0.13087437
1,protocol_type,2,udp,0.11901757,0.18445475,0.13087437
1,protocol_type,3,UNKNOWN,0.00000000,0.00000000,0.13087437
2,service,0,IRC,0.00148445,0.00285048,0.76291695
2,service,1,X11,0.00057949,0.00121278,0.76291695
2,service,2,auth,0.00758099,0.00348522,0.76291695
2,service,3,domain,0.00451684,0.00050482,0.76291695
2,service,4,domain_u,0.07178522,0.13368841,0.76291695
2,service,5,eco_i,0.03640463,0.00776221,0.76291695
2,service,6,ecr_i,0.02442587,0.00294903,0.76291695
2,service,7,finger,0.01402682,0.00886950,0.76291695
2,service,8,ftp,0.01392362,0.01233381,0.76291695
2,service,9,ftp_data,0.05445611,0.07481969,0.76291695
2,service,10,http,0.32021147,0.56039381,0.76291695
2,service,11,imap4,0.00513602,0.00005566,0.76291695
2,service,12,ntp_u,0.00133362,0.00225708,0.76291695
2,service,13,other,0.03460265,0.03800251,0.76291695
2,service,14,pop_3,0.00209569,0.00288154,0.76291695
2,service,15,private,0.17347368,0.01594998,0.76291695
2,service,16,red_i,0.00006351,0.00011395,0.76291695
2,service,17,shell,0.00051598,0.00005846,0.76291695
2,service,18,smtp,0.05805212,0.10553244,0.76291695
2,service,19,ssh,0.00246878,0.00005053,0.76291695
2,service,20,telnet,0.01867861,0.01555518,0.76291695
2,service,21,tftp_u,0.00002381,0.00006926,0.76291695
2,service,22,tim_i,0.00006351,0.00005252,0.76291695
2,service,23,time,0.00519159,0.00136827,0.76291695
2,service,24,urh_i,0.00007938,0.00009176,0.76291695
2,service,25,urp_i,0.00477880,0.00909109,0.76291695
2,service,26,UNKNOWN,0.14404674,0.00000000,0.76291695
3,flag,0,OTH,0.00036516,0.00011370,0.70164556
3,flag,1,REJ,0.08916990,0.03901132,0.70164556
3,flag,2,RSTO,0.01239948,0.00326960,0.70164556
3,flag,3,RSTR,0.01921840,0.00214389,0.70164556
3,flag,4,S0,0.27665452,0.00538261,0.70164556
3,flag,5,S1,0.00289745,0.00650897,0.70164556
3,flag,6,S2,0.00100815,0.00207469,0.70164556
3,flag,7,S3,0.00038897,0.00081705,0.70164556
3,flag,8,SF,0.59492907,0.94064572,0.70164556
3,flag,9,SH,0.00215125,0.00003246,0.70164556
3,flag,10,UNKNOWN,0.00081764,0.00000000,0.70164556
4,src_bytes,0,[-inf;129),0.55981044,0.25267733,0.61426620
4,src_bytes,1,[129;233),0.13576719,0.25069135,0.61426620
4,src_bytes,2,[233;324),0.13485429,0.24905160,0.61426620
4,src_bytes,3,[324;+inf),0.16956808,0.24757972,0.61426620
5,dst_bytes,0,[-inf;105),0.59859652,0.26871615,0.65976075
5,dst_bytes,1,[105;379),0.12348678,0.23333300,0.65976075
5,dst_bytes,2,[379;2.06e+03),0.13382233,0.24460505,0.65976075
5,dst_bytes,3,[2.06e+03;+inf),0.14409437,0.25334580,0.65976075
6,land,0,0 (normal),0.99980154,0.99992877,0.00025445
6,land,1,distinto,0.00019846,0.00007123,0.00025445
7,wrong_fragment,0,0 (normal),0.99134735,1.00000000,0.01730530
7,wrong_fragment,1,distinto,0.00865265,0.00000000,0.01730530
8,urgent,0,0 (normal),0.99992856,0.99984869,0.00015973
8,urgent,1,distinto,0.00007144,0.00015131,0.00015973
9,hot,0,0 (normal),0.97879704,0.98312136,0.00864863
9,hot,1,distinto,0.02120296,0.01687864,0.00864863
10,num_failed_logins,0,0 (normal),0.99903154,0.99881718,0.00042872
10,num_failed_logins,1,distinto,0.00096846,0.00118282,0.00042872
11,logged_in,0,0,0.60426441,0.28872042,0.63108796
11,logged_in,1,1,0.39573559,0.71127958,0.63108796
11,logged_in,2,OTHER,0.00000000,0.00000000,0.63108796
12,num_compromised,0,0 (normal),0.98979146,0.99341555,0.00724817
12,num_compromised,1,distinto,0.01020854,0.00658445,0.00724817
13,root_shell,0,0 (normal),0.99865844,0.99764278,0.00203132
13,root_shell,1,distinto,0.00134156,0.00235722,0.00203132
14,su_attempted,0,0 (normal),0.99936494,0.99848921,0.00175147
14,su_attempted,1,distinto,0.00063506,0.00151079,0.00175147
15,num_root,0,0 (normal),0.99484810,0.99078568,0.00812485
15,num_root,1,distinto,0.00515190,0.00921432,0.00812485
16,num_file_creations,0,0 (normal),0.99772173,0.99618878,0.00306591
16,num_file_creations,1,distinto,0.00227827,0.00381122,0.00306591
17,num_shells,0,0 (normal),0.99962690,0.99958666,0.00008049
17,num_shells,1,distinto,0.00037310,0.00041334,0.00008049
18,num_access_files,0,0 (normal),0.99705492,0.99435119,0.00540748
